nest_no,nearest_water_ID,nearest_water_dist_m,nearest_water_dist_km,geometry,
DO-29a,110459605110,225373.5391,225.3735391,c(709680.413894656, 486736.989643952)
DO-29a,110459605110,225373.5391,225.3735391,c(709680.413894656, 486736.989643952)
MC-03b,110459605110,187961.7794,187.9617794,c(712931.688788323, 414641.844061086)
MC-06,110459605110,196388.8401,196.3888401,c(716279.300520478, 426914.678364162)
MC-06,110459605110,196388.8401,196.3888401,c(716279.300520478, 426914.678364162)
KE-02,110459605110,222473.5008,222.4735008,c(721214.62357155, 468042.049617076)
KE-08,110459605110,218710.6197,218.7106197,c(721617.179012018, 461032.982052627)
KE-08,110459605110,218710.6197,218.7106197,c(721617.179012018, 461032.982052627)
DO-05,110459605110,250532.5105,250.5325105,c(738333.331871497, 491820.210637019)
DO-05,110459605110,250532.5105,250.5325105,c(738333.331871497, 491820.210637019)
DO-18,110459605110,258233.4695,258.2334695,c(740454.097593348, 501404.135225322)
DO-18,110459605110,258233.4695,258.2334695,c(740454.097593348, 501404.135225322)
DO-16a,110459605110,311034.9917,311.0349917,c(764401.657183528, 553563.60905954)
DO-16a,110459605110,311034.9917,311.0349917,c(764401.657183528, 553563.60905954)
DO-16a,110459605110,311034.9917,311.0349917,c(764401.657183528, 553563.60905954)
WI-10a,110459605110,130271.4451,130.2714451,c(642753.474322827, 418760.020008566)
WI-10a,110459605110,130271.4451,130.2714451,c(642753.474322827, 418760.020008566)
