"BirdID","region","PCA_score","Q_residual"
"DU81-001","SSS",2.37803303761748,101.248379953756
"DU58-002","SSS",4.18435855635361,17.6498164345357
"DU58-001","SSS",2.24592980949116,2.86844337231996
"DU58-002","SSS",4.17789759108632,7.57721189121353
"BY32-001","SSS",2.2721536309645,3.0851207268125
"BY30-001","SSS",3.55407426853928,4.7390723907439
"BY47-001","SSS",2.20834749254012,1.99877906355691
"CR03-001","LWR",2.3381308226533,1.22232057729602
"BY47-001-002","SSS",5.75963597535651,10.7346301437859
"CR09-001","LWR",1.8202598017281,14.5513643529508
"CR09-002","LWR",2.19625795265444,4.32871033162066
"CRNew-001","LWR",2.66623764397869,4.00903663872684
"BY97-001","SSS",2.47878884565482,1.34629314875039
"BY97-002","SSS",2.56602006244619,1.71052576663203
"BY48-001","SSS",1.61038017511507,1.37137326096335
"BY100-001","SSS",2.14338131746383,2.28494521539508
"BY100-002","SSS",2.49361188860531,2.71810648723711
"BY100-003","SSS",2.00282301615787,2.40342337706448
"BY100-002","SSS",1.74921887026431,1.66510576484353
"AS28-001","AIS",1.87295042589121,1.51268042957559
"AS28-002","AIS",2.0585585335368,1.48372095113481
"AS28-003","AIS",1.77734528194207,1.22055804458348
"BY94-001","SSS",1.63694647463206,1.1856268066657
"BY94-002","SSS",1.29100970005474,1.63224901393975
"AS71-001","AIS",7.74107758799054,12.8777545648919
"AS71-002","AIS",9.53722982808167,70.7978961512013
"AS71-001","AIS",4.48339692459942,4.64325872883831
"AS108-002","AIS",1.57728158715191,2.5020348960508
"GRNew-001","LWR",2.14176970369372,2.08448629459608
"GRNew-002","LWR",1.95856991604319,3.81350128859174
"AS99-001","AIS",1.9822586370721,2.3268297609785
"AS99-002","AIS",2.12186980831159,3.71658898574625
"AS106-001","AIS",3.15170921780572,3.55349256616293
"AS106-002","AIS",3.73978452649539,3.40752608224338
"AS90-001","AIS",10.5052794885632,106.56490989968
"AS90-002","AIS",5.99458293745212,14.0515012946841
"GR10-001","LWR",2.077876698127,7.87385945838804
"GR10-002","LWR",1.86349405275795,2.90369926530315
"RI20-001","LWR",2.54058930475854,2.98096380060983
"AS20-001","AIS",3.40262447867184,3.32529836987676
"AS20-002","AIS",3.31438992514999,2.97321753433047
"IO20-001","LWR",1.70838509422441,21.8273216449258
"IO20-002","LWR",1.99092382629191,22.6901617688359
"IO20-003","LWR",1.36989418606832,2.71819473708336
"IO26-001","LWR",1.76549068531568,5.03623844101554
"IO26-002","LWR",1.75638595283603,10.7393507620398
"IO21-001","LWR",1.58555474146008,3.03956201143627
"IO21-003","LWR",1.80620388407157,9.88008777358238
"JU22-001","MWR",5.3825471893532,9.90808996207561
"JU22-002","MWR",4.48508046646526,8.0426068980489
"JU14-001","MWR",5.13541270662159,10.5297290100877
"SK02-001","LWR",1.90304095862917,7.61133992870549
"SK02-002","LWR",2.05493836800777,3.60316857271739
"AD13-001","MWR",3.92741277900317,2.68513003344989
"AD13-002","MWR",6.35938838517878,8.98780334180362
"AD13-003","MWR",6.1311757337119,6.21877767145166
"WO07-001","MWR",3.67980972139482,7.08978266776643
