PFAS_1,PFAS_2,Correlation,p_value,Region,Group_1,Group_2,Significance
FTSA6_2,PFHPS,NA,NA,FRGB,Precursor,Legacy Sulfonamides,
FTSA6_2,PFDS,NA,NA,FRGB,Precursor,Legacy Sulfonamides,
FTSA8_2,FOSA,0.60,0.01,FRGB,Precursor,Precursor,*
FTSA8_2,N_ETFOSAA,0.61,0.01,FRGB,Precursor,Precursor,**
FTSA8_2,N_MEFOSAA,0.89,0.00,FRGB,Precursor,Precursor,***
FTSA8_2,PFBA,-0.05,0.85,FRGB,Precursor,Short-chain,
FTSA8_2,PFBS,NA,NA,FRGB,Precursor,Short-chain,
FTSA8_2,PFHPA,NA,NA,FRGB,Precursor,Short-chain,
FTSA8_2,PFHXA,NA,NA,FRGB,Precursor,Legacy Acids,
FTSA8_2,PFOA,0.41,0.10,FRGB,Precursor,Legacy Acids,.
FTSA8_2,PFNA,-0.24,0.34,FRGB,Precursor,Legacy Acids,
FTSA8_2,PFDA,0.32,0.22,FRGB,Precursor,Legacy Acids,
FTSA8_2,PFDOA,0.64,0.01,FRGB,Precursor,Legacy Acids,**
FTSA8_2,PFTRDA,0.63,0.01,FRGB,Precursor,Legacy Acids,**
FTSA8_2,PFTEDA,0.72,0.00,FRGB,Precursor,Legacy Acids,**
FTSA8_2,PFUNDA,0.57,0.02,FRGB,Precursor,Legacy Sulfonates,*
FTSA8_2,PFHXS,0.05,0.86,FRGB,Precursor,Legacy Sulfonates,
FTSA8_2,PFOS,0.29,0.25,FRGB,Precursor,Legacy Sulfonates,
FTSA8_2,PFPES,NA,NA,FRGB,Precursor,Legacy Sulfonamides,
FTSA8_2,PFHPS,0.50,0.04,FRGB,Precursor,Legacy Sulfonamides,*
FTSA8_2,PFDS,0.57,0.02,FRGB,Precursor,Legacy Sulfonamides,*
FOSA,N_ETFOSAA,0.66,0.00,FRGB,Precursor,Precursor,**
FOSA,N_MEFOSAA,0.78,0.00,FRGB,Precursor,Precursor,***
FOSA,PFBA,0.34,0.18,FRGB,Precursor,Short-chain,
FOSA,PFBS,NA,NA,FRGB,Precursor,Short-chain,
FOSA,PFHPA,NA,NA,FRGB,Precursor,Short-chain,
FOSA,PFHXA,NA,NA,FRGB,Precursor,Legacy Acids,
FOSA,PFOA,0.45,0.07,FRGB,Precursor,Legacy Acids,.
FOSA,PFNA,-0.17,0.52,FRGB,Precursor,Legacy Acids,
FOSA,PFDA,0.66,0.00,FRGB,Precursor,Legacy Acids,**
FOSA,PFDOA,0.81,0.00,FRGB,Precursor,Legacy Acids,***
FOSA,PFTRDA,0.79,0.00,FRGB,Precursor,Legacy Acids,***
FOSA,PFTEDA,0.80,0.00,FRGB,Precursor,Legacy Acids,***
FOSA,PFUNDA,0.80,0.00,FRGB,Precursor,Legacy Sulfonates,***
FOSA,PFHXS,-0.03,0.91,FRGB,Precursor,Legacy Sulfonates,
FOSA,PFOS,0.37,0.15,FRGB,Precursor,Legacy Sulfonates,
FOSA,PFPES,NA,NA,FRGB,Precursor,Legacy Sulfonamides,
FOSA,PFHPS,0.24,0.36,FRGB,Precursor,Legacy Sulfonamides,
FOSA,PFDS,0.54,0.02,FRGB,Precursor,Legacy Sulfonamides,*
N_ETFOSAA,N_MEFOSAA,0.71,0.00,FRGB,Precursor,Precursor,**
N_ETFOSAA,PFBA,-0.20,0.45,FRGB,Precursor,Short-chain,
N_ETFOSAA,PFBS,NA,NA,FRGB,Precursor,Short-chain,
N_ETFOSAA,PFHPA,NA,NA,FRGB,Precursor,Short-chain,
N_ETFOSAA,PFHXA,NA,NA,FRGB,Precursor,Legacy Acids,
N_ETFOSAA,PFOA,0.48,0.05,FRGB,Precursor,Legacy Acids,.
N_ETFOSAA,PFNA,-0.10,0.69,FRGB,Precursor,Legacy Acids,
N_ETFOSAA,PFDA,0.31,0.23,FRGB,Precursor,Legacy Acids,
N_ETFOSAA,PFDOA,0.49,0.05,FRGB,Precursor,Legacy Acids,*
N_ETFOSAA,PFTRDA,0.60,0.01,FRGB,Precursor,Legacy Acids,*
N_ETFOSAA,PFTEDA,0.52,0.03,FRGB,Precursor,Legacy Acids,*
N_ETFOSAA,PFUNDA,0.46,0.07,FRGB,Precursor,Legacy Sulfonates,.
N_ETFOSAA,PFHXS,-0.31,0.23,FRGB,Precursor,Legacy Sulfonates,
N_ETFOSAA,PFOS,0.02,0.94,FRGB,Precursor,Legacy Sulfonates,
N_ETFOSAA,PFPES,NA,NA,FRGB,Precursor,Legacy Sulfonamides,
N_ETFOSAA,PFHPS,0.13,0.63,FRGB,Precursor,Legacy Sulfonamides,
N_ETFOSAA,PFDS,0.57,0.02,FRGB,Precursor,Legacy Sulfonamides,*
N_MEFOSAA,PFBA,-0.01,0.98,FRGB,Precursor,Short-chain,
N_MEFOSAA,PFBS,NA,NA,FRGB,Precursor,Short-chain,
N_MEFOSAA,PFHPA,NA,NA,FRGB,Precursor,Short-chain,
N_MEFOSAA,PFHXA,NA,NA,FRGB,Precursor,Legacy Acids,
N_MEFOSAA,PFOA,0.46,0.06,FRGB,Precursor,Legacy Acids,.
N_MEFOSAA,PFNA,-0.09,0.75,FRGB,Precursor,Legacy Acids,
N_MEFOSAA,PFDA,0.60,0.01,FRGB,Precursor,Legacy Acids,*
N_MEFOSAA,PFDOA,0.83,0.00,FRGB,Precursor,Legacy Acids,***
N_MEFOSAA,PFTRDA,0.83,0.00,FRGB,Precursor,Legacy Acids,***
N_MEFOSAA,PFTEDA,0.86,0.00,FRGB,Precursor,Legacy Acids,***
N_MEFOSAA,PFUNDA,0.79,0.00,FRGB,Precursor,Legacy Sulfonates,***
N_MEFOSAA,PFHXS,0.10,0.70,FRGB,Precursor,Legacy Sulfonates,
N_MEFOSAA,PFOS,0.43,0.08,FRGB,Precursor,Legacy Sulfonates,.
N_MEFOSAA,PFPES,NA,NA,FRGB,Precursor,Legacy Sulfonamides,
N_MEFOSAA,PFHPS,0.44,0.08,FRGB,Precursor,Legacy Sulfonamides,.
N_MEFOSAA,PFDS,0.67,0.00,FRGB,Precursor,Legacy Sulfonamides,**
PFBA,PFBS,NA,NA,FRGB,Short-chain,Short-chain,
PFBA,PFHPA,NA,NA,FRGB,Short-chain,Short-chain,
PFBA,PFHXA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBA,PFOA,0.30,0.24,FRGB,Short-chain,Legacy Acids,
PFBA,PFNA,0.01,0.98,FRGB,Short-chain,Legacy Acids,
PFBA,PFDA,0.09,0.73,FRGB,Short-chain,Legacy Acids,
PFBA,PFDOA,0.29,0.26,FRGB,Short-chain,Legacy Acids,
PFBA,PFTRDA,0.24,0.35,FRGB,Short-chain,Legacy Acids,
PFBA,PFTEDA,0.22,0.41,FRGB,Short-chain,Legacy Acids,
PFBA,PFUNDA,0.20,0.45,FRGB,Short-chain,Legacy Sulfonates,
PFBA,PFHXS,0.22,0.39,FRGB,Short-chain,Legacy Sulfonates,
PFBA,PFOS,0.26,0.31,FRGB,Short-chain,Legacy Sulfonates,
PFBA,PFPES,NA,NA,FRGB,Short-chain,Legacy Sulfonamides,
PFBA,PFHPS,0.33,0.19,FRGB,Short-chain,Legacy Sulfonamides,
PFBA,PFDS,0.15,0.57,FRGB,Short-chain,Legacy Sulfonamides,
PFBS,PFHPA,NA,NA,FRGB,Short-chain,Short-chain,
PFBS,PFHXA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBS,PFOA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBS,PFNA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBS,PFDA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBS,PFDOA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBS,PFTRDA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBS,PFTEDA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFBS,PFUNDA,NA,NA,FRGB,Short-chain,Legacy Sulfonates,
PFBS,PFHXS,NA,NA,FRGB,Short-chain,Legacy Sulfonates,
PFBS,PFOS,NA,NA,FRGB,Short-chain,Legacy Sulfonates,
PFBS,PFPES,NA,NA,FRGB,Short-chain,Legacy Sulfonamides,
PFBS,PFHPS,NA,NA,FRGB,Short-chain,Legacy Sulfonamides,
PFBS,PFDS,NA,NA,FRGB,Short-chain,Legacy Sulfonamides,
PFHPA,PFHXA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFHPA,PFOA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFHPA,PFNA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFHPA,PFDA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFHPA,PFDOA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFHPA,PFTRDA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFHPA,PFTEDA,NA,NA,FRGB,Short-chain,Legacy Acids,
PFHPA,PFUNDA,NA,NA,FRGB,Short-chain,Legacy Sulfonates,
PFHPA,PFHXS,NA,NA,FRGB,Short-chain,Legacy Sulfonates,
PFHPA,PFOS,NA,NA,FRGB,Short-chain,Legacy Sulfonates,
PFHPA,PFPES,NA,NA,FRGB,Short-chain,Legacy Sulfonamides,
PFHPA,PFHPS,NA,NA,FRGB,Short-chain,Legacy Sulfonamides,
PFHPA,PFDS,NA,NA,FRGB,Short-chain,Legacy Sulfonamides,
PFHXA,PFOA,NA,NA,FRGB,Legacy Acids,Legacy Acids,
PFHXA,PFNA,NA,NA,FRGB,Legacy Acids,Legacy Acids,
PFHXA,PFDA,NA,NA,FRGB,Legacy Acids,Legacy Acids,
PFHXA,PFDOA,NA,NA,FRGB,Legacy Acids,Legacy Acids,
PFHXA,PFTRDA,NA,NA,FRGB,Legacy Acids,Legacy Acids,
PFHXA,PFTEDA,NA,NA,FRGB,Legacy Acids,Legacy Acids,
PFHXA,PFUNDA,NA,NA,FRGB,Legacy Acids,Legacy Sulfonates,
PFHXA,PFHXS,NA,NA,FRGB,Legacy Acids,Legacy Sulfonates,
PFHXA,PFOS,NA,NA,FRGB,Legacy Acids,Legacy Sulfonates,
PFHXA,PFPES,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFHXA,PFHPS,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFHXA,PFDS,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFOA,PFNA,0.42,0.10,FRGB,Legacy Acids,Legacy Acids,.
PFOA,PFDA,0.14,0.59,FRGB,Legacy Acids,Legacy Acids,
PFOA,PFDOA,0.36,0.16,FRGB,Legacy Acids,Legacy Acids,
PFOA,PFTRDA,0.52,0.04,FRGB,Legacy Acids,Legacy Acids,*
PFOA,PFTEDA,0.58,0.02,FRGB,Legacy Acids,Legacy Acids,*
PFOA,PFUNDA,0.36,0.16,FRGB,Legacy Acids,Legacy Sulfonates,
PFOA,PFHXS,0.32,0.22,FRGB,Legacy Acids,Legacy Sulfonates,
PFOA,PFOS,0.36,0.16,FRGB,Legacy Acids,Legacy Sulfonates,
PFOA,PFPES,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFOA,PFHPS,0.77,0.00,FRGB,Legacy Acids,Legacy Sulfonamides,***
PFOA,PFDS,0.55,0.02,FRGB,Legacy Acids,Legacy Sulfonamides,*
PFNA,PFDA,0.32,0.20,FRGB,Legacy Acids,Legacy Acids,
PFNA,PFDOA,0.09,0.73,FRGB,Legacy Acids,Legacy Acids,
PFNA,PFTRDA,0.21,0.42,FRGB,Legacy Acids,Legacy Acids,
PFNA,PFTEDA,0.21,0.41,FRGB,Legacy Acids,Legacy Acids,
PFNA,PFUNDA,0.17,0.50,FRGB,Legacy Acids,Legacy Sulfonates,
PFNA,PFHXS,0.75,0.00,FRGB,Legacy Acids,Legacy Sulfonates,***
PFNA,PFOS,0.40,0.12,FRGB,Legacy Acids,Legacy Sulfonates,
PFNA,PFPES,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFNA,PFHPS,0.45,0.07,FRGB,Legacy Acids,Legacy Sulfonamides,.
PFNA,PFDS,0.25,0.34,FRGB,Legacy Acids,Legacy Sulfonamides,
PFDA,PFDOA,0.82,0.00,FRGB,Legacy Acids,Legacy Acids,***
PFDA,PFTRDA,0.76,0.00,FRGB,Legacy Acids,Legacy Acids,***
PFDA,PFTEDA,0.75,0.00,FRGB,Legacy Acids,Legacy Acids,***
PFDA,PFUNDA,0.89,0.00,FRGB,Legacy Acids,Legacy Sulfonates,***
PFDA,PFHXS,0.44,0.08,FRGB,Legacy Acids,Legacy Sulfonates,.
PFDA,PFOS,0.58,0.01,FRGB,Legacy Acids,Legacy Sulfonates,*
PFDA,PFPES,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFDA,PFHPS,0.15,0.56,FRGB,Legacy Acids,Legacy Sulfonamides,
PFDA,PFDS,0.51,0.03,FRGB,Legacy Acids,Legacy Sulfonamides,*
PFDOA,PFTRDA,0.94,0.00,FRGB,Legacy Acids,Legacy Acids,***
PFDOA,PFTEDA,0.91,0.00,FRGB,Legacy Acids,Legacy Acids,***
PFDOA,PFUNDA,0.93,0.00,FRGB,Legacy Acids,Legacy Sulfonates,***
PFDOA,PFHXS,0.33,0.19,FRGB,Legacy Acids,Legacy Sulfonates,
PFDOA,PFOS,0.63,0.01,FRGB,Legacy Acids,Legacy Sulfonates,**
PFDOA,PFPES,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFDOA,PFHPS,0.36,0.16,FRGB,Legacy Acids,Legacy Sulfonamides,
PFDOA,PFDS,0.68,0.00,FRGB,Legacy Acids,Legacy Sulfonamides,**
PFTRDA,PFTEDA,0.95,0.00,FRGB,Legacy Acids,Legacy Acids,***
PFTRDA,PFUNDA,0.90,0.00,FRGB,Legacy Acids,Legacy Sulfonates,***
PFTRDA,PFHXS,0.38,0.13,FRGB,Legacy Acids,Legacy Sulfonates,
PFTRDA,PFOS,0.67,0.00,FRGB,Legacy Acids,Legacy Sulfonates,**
PFTRDA,PFPES,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFTRDA,PFHPS,0.46,0.06,FRGB,Legacy Acids,Legacy Sulfonamides,.
PFTRDA,PFDS,0.83,0.00,FRGB,Legacy Acids,Legacy Sulfonamides,***
PFTEDA,PFUNDA,0.89,0.00,FRGB,Legacy Acids,Legacy Sulfonates,***
PFTEDA,PFHXS,0.46,0.06,FRGB,Legacy Acids,Legacy Sulfonates,.
PFTEDA,PFOS,0.70,0.00,FRGB,Legacy Acids,Legacy Sulfonates,**
PFTEDA,PFPES,NA,NA,FRGB,Legacy Acids,Legacy Sulfonamides,
PFTEDA,PFHPS,0.60,0.01,FRGB,Legacy Acids,Legacy Sulfonamides,*
PFTEDA,PFDS,0.77,0.00,FRGB,Legacy Acids,Legacy Sulfonamides,***
PFUNDA,PFHXS,0.39,0.12,FRGB,Legacy Sulfonates,Legacy Sulfonates,
PFUNDA,PFOS,0.62,0.01,FRGB,Legacy Sulfonates,Legacy Sulfonates,**
PFUNDA,PFPES,NA,NA,FRGB,Legacy Sulfonates,Legacy Sulfonamides,
PFUNDA,PFHPS,0.31,0.23,FRGB,Legacy Sulfonates,Legacy Sulfonamides,
PFUNDA,PFDS,0.63,0.01,FRGB,Legacy Sulfonates,Legacy Sulfonamides,**
PFHXS,PFOS,0.57,0.02,FRGB,Legacy Sulfonates,Legacy Sulfonates,*
PFHXS,PFPES,NA,NA,FRGB,Legacy Sulfonates,Legacy Sulfonamides,
PFHXS,PFHPS,0.64,0.01,FRGB,Legacy Sulfonates,Legacy Sulfonamides,**
PFHXS,PFDS,0.34,0.18,FRGB,Legacy Sulfonates,Legacy Sulfonamides,
PFOS,PFPES,NA,NA,FRGB,Legacy Sulfonates,Legacy Sulfonamides,
PFOS,PFHPS,0.51,0.04,FRGB,Legacy Sulfonates,Legacy Sulfonamides,*
PFOS,PFDS,0.71,0.00,FRGB,Legacy Sulfonates,Legacy Sulfonamides,**
PFPES,PFHPS,NA,NA,FRGB,Legacy Sulfonamides,Legacy Sulfonamides,
PFPES,PFDS,NA,NA,FRGB,Legacy Sulfonamides,Legacy Sulfonamides,
PFHPS,PFDS,0.57,0.02,FRGB,Legacy Sulfonamides,Legacy Sulfonamides,*
FTSA6_2,FTSA8_2,NA,NA,GBLM,Precursor,Precursor,
FTSA6_2,FOSA,NA,NA,GBLM,Precursor,Precursor,
FTSA6_2,N_ETFOSAA,NA,NA,GBLM,Precursor,Precursor,
FTSA6_2,N_MEFOSAA,NA,NA,GBLM,Precursor,Precursor,
FTSA6_2,PFBA,NA,NA,GBLM,Precursor,Short-chain,
FTSA6_2,PFBS,NA,NA,GBLM,Precursor,Short-chain,
FTSA6_2,PFHPA,NA,NA,GBLM,Precursor,Short-chain,
FTSA6_2,PFHXA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA6_2,PFOA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA6_2,PFNA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA6_2,PFDA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA6_2,PFDOA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA6_2,PFTRDA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA6_2,PFTEDA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA6_2,PFUNDA,NA,NA,GBLM,Precursor,Legacy Sulfonates,
FTSA6_2,PFHXS,NA,NA,GBLM,Precursor,Legacy Sulfonates,
FTSA6_2,PFOS,NA,NA,GBLM,Precursor,Legacy Sulfonates,
FTSA6_2,PFPES,NA,NA,GBLM,Precursor,Legacy Sulfonamides,
FTSA6_2,PFHPS,NA,NA,GBLM,Precursor,Legacy Sulfonamides,
FTSA6_2,PFDS,NA,NA,GBLM,Precursor,Legacy Sulfonamides,
FTSA8_2,FOSA,0.83,0.00,GBLM,Precursor,Precursor,***
FTSA8_2,N_ETFOSAA,0.68,0.00,GBLM,Precursor,Precursor,**
FTSA8_2,N_MEFOSAA,0.68,0.00,GBLM,Precursor,Precursor,**
FTSA8_2,PFBA,-0.35,0.15,GBLM,Precursor,Short-chain,
FTSA8_2,PFBS,NA,NA,GBLM,Precursor,Short-chain,
FTSA8_2,PFHPA,NA,NA,GBLM,Precursor,Short-chain,
FTSA8_2,PFHXA,NA,NA,GBLM,Precursor,Legacy Acids,
FTSA8_2,PFOA,-0.75,0.00,GBLM,Precursor,Legacy Acids,***
FTSA8_2,PFNA,-0.66,0.00,GBLM,Precursor,Legacy Acids,**
FTSA8_2,PFDA,0.09,0.72,GBLM,Precursor,Legacy Acids,
FTSA8_2,PFDOA,0.41,0.08,GBLM,Precursor,Legacy Acids,.
FTSA8_2,PFTRDA,-0.02,0.92,GBLM,Precursor,Legacy Acids,
FTSA8_2,PFTEDA,0.14,0.58,GBLM,Precursor,Legacy Acids,
FTSA8_2,PFUNDA,0.22,0.37,GBLM,Precursor,Legacy Sulfonates,
FTSA8_2,PFHXS,0.20,0.42,GBLM,Precursor,Legacy Sulfonates,
FTSA8_2,PFOS,-0.21,0.40,GBLM,Precursor,Legacy Sulfonates,
FTSA8_2,PFPES,NA,NA,GBLM,Precursor,Legacy Sulfonamides,
FTSA8_2,PFHPS,-0.57,0.01,GBLM,Precursor,Legacy Sulfonamides,*
FTSA8_2,PFDS,0.00,1.00,GBLM,Precursor,Legacy Sulfonamides,
FOSA,N_ETFOSAA,0.58,0.01,GBLM,Precursor,Precursor,**
FOSA,N_MEFOSAA,0.58,0.01,GBLM,Precursor,Precursor,**
FOSA,PFBA,-0.52,0.02,GBLM,Precursor,Short-chain,*
FOSA,PFBS,NA,NA,GBLM,Precursor,Short-chain,
FOSA,PFHPA,NA,NA,GBLM,Precursor,Short-chain,
FOSA,PFHXA,NA,NA,GBLM,Precursor,Legacy Acids,
FOSA,PFOA,-0.57,0.01,GBLM,Precursor,Legacy Acids,*
FOSA,PFNA,-0.51,0.03,GBLM,Precursor,Legacy Acids,*
FOSA,PFDA,0.25,0.29,GBLM,Precursor,Legacy Acids,
FOSA,PFDOA,0.44,0.06,GBLM,Precursor,Legacy Acids,.
FOSA,PFTRDA,0.17,0.49,GBLM,Precursor,Legacy Acids,
FOSA,PFTEDA,0.26,0.28,GBLM,Precursor,Legacy Acids,
FOSA,PFUNDA,0.34,0.16,GBLM,Precursor,Legacy Sulfonates,
FOSA,PFHXS,0.28,0.24,GBLM,Precursor,Legacy Sulfonates,
FOSA,PFOS,0.07,0.77,GBLM,Precursor,Legacy Sulfonates,
FOSA,PFPES,NA,NA,GBLM,Precursor,Legacy Sulfonamides,
FOSA,PFHPS,-0.35,0.14,GBLM,Precursor,Legacy Sulfonamides,
FOSA,PFDS,0.09,0.70,GBLM,Precursor,Legacy Sulfonamides,
N_ETFOSAA,N_MEFOSAA,1.00,0.00,GBLM,Precursor,Precursor,***
N_ETFOSAA,PFBA,-0.20,0.41,GBLM,Precursor,Short-chain,
N_ETFOSAA,PFBS,NA,NA,GBLM,Precursor,Short-chain,
N_ETFOSAA,PFHPA,NA,NA,GBLM,Precursor,Short-chain,
N_ETFOSAA,PFHXA,NA,NA,GBLM,Precursor,Legacy Acids,
N_ETFOSAA,PFOA,-0.47,0.04,GBLM,Precursor,Legacy Acids,*
N_ETFOSAA,PFNA,-0.53,0.02,GBLM,Precursor,Legacy Acids,*
N_ETFOSAA,PFDA,-0.10,0.70,GBLM,Precursor,Legacy Acids,
N_ETFOSAA,PFDOA,0.37,0.12,GBLM,Precursor,Legacy Acids,
N_ETFOSAA,PFTRDA,-0.13,0.60,GBLM,Precursor,Legacy Acids,
N_ETFOSAA,PFTEDA,0.28,0.25,GBLM,Precursor,Legacy Acids,
N_ETFOSAA,PFUNDA,-0.03,0.89,GBLM,Precursor,Legacy Sulfonates,
N_ETFOSAA,PFHXS,-0.35,0.14,GBLM,Precursor,Legacy Sulfonates,
N_ETFOSAA,PFOS,-0.34,0.15,GBLM,Precursor,Legacy Sulfonates,
N_ETFOSAA,PFPES,NA,NA,GBLM,Precursor,Legacy Sulfonamides,
N_ETFOSAA,PFHPS,-0.46,0.05,GBLM,Precursor,Legacy Sulfonamides,*
N_ETFOSAA,PFDS,-0.01,0.97,GBLM,Precursor,Legacy Sulfonamides,
N_MEFOSAA,PFBA,-0.20,0.41,GBLM,Precursor,Short-chain,
N_MEFOSAA,PFBS,NA,NA,GBLM,Precursor,Short-chain,
N_MEFOSAA,PFHPA,NA,NA,GBLM,Precursor,Short-chain,
N_MEFOSAA,PFHXA,NA,NA,GBLM,Precursor,Legacy Acids,
N_MEFOSAA,PFOA,-0.47,0.04,GBLM,Precursor,Legacy Acids,*
N_MEFOSAA,PFNA,-0.53,0.02,GBLM,Precursor,Legacy Acids,*
N_MEFOSAA,PFDA,-0.10,0.70,GBLM,Precursor,Legacy Acids,
N_MEFOSAA,PFDOA,0.37,0.12,GBLM,Precursor,Legacy Acids,
N_MEFOSAA,PFTRDA,-0.13,0.60,GBLM,Precursor,Legacy Acids,
N_MEFOSAA,PFTEDA,0.28,0.25,GBLM,Precursor,Legacy Acids,
N_MEFOSAA,PFUNDA,-0.03,0.89,GBLM,Precursor,Legacy Sulfonates,
N_MEFOSAA,PFHXS,-0.35,0.14,GBLM,Precursor,Legacy Sulfonates,
N_MEFOSAA,PFOS,-0.34,0.15,GBLM,Precursor,Legacy Sulfonates,
N_MEFOSAA,PFPES,NA,NA,GBLM,Precursor,Legacy Sulfonamides,
N_MEFOSAA,PFHPS,-0.46,0.05,GBLM,Precursor,Legacy Sulfonamides,*
N_MEFOSAA,PFDS,-0.01,0.97,GBLM,Precursor,Legacy Sulfonamides,
PFBA,PFBS,NA,NA,GBLM,Short-chain,Short-chain,
PFBA,PFHPA,NA,NA,GBLM,Short-chain,Short-chain,
PFBA,PFHXA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBA,PFOA,0.32,0.17,GBLM,Short-chain,Legacy Acids,
PFBA,PFNA,-0.15,0.53,GBLM,Short-chain,Legacy Acids,
PFBA,PFDA,-0.65,0.00,GBLM,Short-chain,Legacy Acids,**
PFBA,PFDOA,-0.55,0.01,GBLM,Short-chain,Legacy Acids,*
PFBA,PFTRDA,-0.65,0.00,GBLM,Short-chain,Legacy Acids,**
PFBA,PFTEDA,-0.33,0.17,GBLM,Short-chain,Legacy Acids,
PFBA,PFUNDA,-0.65,0.00,GBLM,Short-chain,Legacy Sulfonates,**
PFBA,PFHXS,-0.24,0.32,GBLM,Short-chain,Legacy Sulfonates,
PFBA,PFOS,-0.42,0.08,GBLM,Short-chain,Legacy Sulfonates,.
PFBA,PFPES,NA,NA,GBLM,Short-chain,Legacy Sulfonamides,
PFBA,PFHPS,0.31,0.19,GBLM,Short-chain,Legacy Sulfonamides,
PFBA,PFDS,-0.24,0.32,GBLM,Short-chain,Legacy Sulfonamides,
PFBS,PFHPA,NA,NA,GBLM,Short-chain,Short-chain,
PFBS,PFHXA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBS,PFOA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBS,PFNA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBS,PFDA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBS,PFDOA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBS,PFTRDA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBS,PFTEDA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFBS,PFUNDA,NA,NA,GBLM,Short-chain,Legacy Sulfonates,
PFBS,PFHXS,NA,NA,GBLM,Short-chain,Legacy Sulfonates,
PFBS,PFOS,NA,NA,GBLM,Short-chain,Legacy Sulfonates,
PFBS,PFPES,NA,NA,GBLM,Short-chain,Legacy Sulfonamides,
PFBS,PFHPS,NA,NA,GBLM,Short-chain,Legacy Sulfonamides,
PFBS,PFDS,NA,NA,GBLM,Short-chain,Legacy Sulfonamides,
PFHPA,PFHXA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFHPA,PFOA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFHPA,PFNA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFHPA,PFDA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFHPA,PFDOA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFHPA,PFTRDA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFHPA,PFTEDA,NA,NA,GBLM,Short-chain,Legacy Acids,
PFHPA,PFUNDA,NA,NA,GBLM,Short-chain,Legacy Sulfonates,
PFHPA,PFHXS,NA,NA,GBLM,Short-chain,Legacy Sulfonates,
PFHPA,PFOS,NA,NA,GBLM,Short-chain,Legacy Sulfonates,
PFHPA,PFPES,NA,NA,GBLM,Short-chain,Legacy Sulfonamides,
PFHPA,PFHPS,NA,NA,GBLM,Short-chain,Legacy Sulfonamides,
PFHPA,PFDS,NA,NA,GBLM,Short-chain,Legacy Sulfonamides,
PFHXA,PFOA,NA,NA,GBLM,Legacy Acids,Legacy Acids,
PFHXA,PFNA,NA,NA,GBLM,Legacy Acids,Legacy Acids,
PFHXA,PFDA,NA,NA,GBLM,Legacy Acids,Legacy Acids,
PFHXA,PFDOA,NA,NA,GBLM,Legacy Acids,Legacy Acids,
PFHXA,PFTRDA,NA,NA,GBLM,Legacy Acids,Legacy Acids,
PFHXA,PFTEDA,NA,NA,GBLM,Legacy Acids,Legacy Acids,
PFHXA,PFUNDA,NA,NA,GBLM,Legacy Acids,Legacy Sulfonates,
PFHXA,PFHXS,NA,NA,GBLM,Legacy Acids,Legacy Sulfonates,
PFHXA,PFOS,NA,NA,GBLM,Legacy Acids,Legacy Sulfonates,
PFHXA,PFPES,NA,NA,GBLM,Legacy Acids,Legacy Sulfonamides,
