region,FTSA10_2,PF3OUDS11CL,FTSA4_2,DIPAP6_2,FTSA6_2,DIPAP8_2,FTSA8_2,CL_9PF3ONS,DONA,FOSA,N_ETFOSA,N_ETFOSAA,N_ETFOSE,N_MEFOSA,N_MEFOSAA,N_MEFOSE,PFBA,PFBS,PFDA,PFDOA,PFDS,PFHPA,PFHPS,PFHXA,PFHXDA,PFHXS,PFMBA,PFMPA,PFNA,PFNS,PFOA,PFODA,PFOS,PFPEA,PFPES,PFTEDA,PFTRDA,PFUNDA,PFEESA,PFDoS,ADONA,HFPO.DA,NFDHA,X3.3FTCA,X5.3FTCA,X6.2FTS,X7.3FTCA,TOTAL_PFAS
AIS,"0 (0,0)",0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0.062 (0â0.128),0 (0â0),0 (0â0),0.004 (0â0.064),0 (0â0),0 (0â0),0 (0â0),0.117 (0â0.247),0.006 (0â0.093),32.273 (12.3â61),8.706 (3.2â19.1),0.837 (0.412â1.32),0.224 (0â1.56),1.231 (0.526â2.14),0 (0â0),0 (0â0),1.239 (0.5â2.58),0 (0â0),0 (0â0),89.373 (33â149),0.092 (0â0.147),4.412 (0.639â29.3),0 (0â0),126.92 (68.9â188),0 (0â0),0.002 (0â0.027),1.988 (0.838â3.49),16.607 (6.67â34.1),46.64 (16.3â97.3),,,,,,,,,,330.733 (143.947â544.701)
FRGB,0.16 (0â 0.287),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0.588 (0â1.53),0 (0â0),0 (0â0),0.388 (0â0.952),0 (0â0),0.753 (0â1.57),0.009 (0â0.09),0 (0â0),0.27 (0â0.675),0 (0â0),0.072 (0â0.248),0 (0â0),10.302 (4.68â16.9),4.816 (1.17â10.7),1.056 (0.51â1.61),0 (0â0),0.894 (0.27â1.4),0 (0â0),0 (0â0),1.106 (0.181â3.44),0 (0â0),0 (0â0),4.291 (1.4â9.39),0.142 (0.067â0.304),0.202 (0â0.686),0 (0â0),144.559 (92.5â206),0 (0â0),0 (0â0),1.206 (0.355â1.93),2.904 (0.975â6.76),9.06 (3.15â16.4),,,,,,,,,,182.777 (122.023â268.729)
GBLM,"0 (0,0)",0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0.089 (0â0.609),0 (0â0),0 (0â0),0.239 (0â0.95),0 (0â0),0.087 (0â0.958),0 (0â0),0 (0â0),0.039 (0â0.384),0 (0â0),0.041 (0â0.216),0 (0â0),13.848 (6.52â29.3),4.587 (1.95â11.2),0.874 (0.224â1.44),0 (0â0),1.443 (0.888â2.19),0 (0â0),0 (0â0),1.372 (0.712â2.45),0 (0â0),0 (0â0),10.484 (3.06â27.3),0.08 (0â0.126),0.549 (0.093â1.49),0 (0â0),179.158 (116â256),0 (0â0),0 (0â0),1.23 (0.607â2.22),6.735 (2.33â17.9),11.665 (5.08â26.3),,,,,,,,,,232.518 (145.928â368.44)
LWR,"0 (0,0)",0 (0â0),0 (0â0),,0 (0â0),,1.472 (0.42â2.491),0 (0â0),0 (0â0),1.494 (0.576â2.636),0 (0â0),0.698 (0â1.692),0 (0â0),0 (0â0),0.032 (0â0.24),0 (0â0),0.087 (0.037â0.21),0 (0â0),5.616 (2.92â8.676),2.802 (0.728â4.331),1.6 (0.167â4.217),0 (0â0),0.71 (0â1.368),0.017 (0â0.043),,0.471 (0.132â1.008),0 (0â0),0 (0â0),2.648 (0.888â4.514),0.043 (0â0.309),0.149 (0â0.568),,179.099 (34.037â283.31),0 (0â0),0 (0â0),0.74 (0.259â1.199),1.715 (0.762â2.439),4.764 (2.586â7.141),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0.452 (0â1.193),0 (0â0),0.361 (0â0.808),204.971 (46.522â313.141)
MWR,"0 (0,0)",0 (0â0),0 (0â0),,0.036 (0â0.828),,8.279 (0â31.616),0 (0â0),0 (0â0),5.914 (0.207â13.388),0 (0â0),4.281 (0â15.505),0 (0â0),0 (0â0),0.256 (0â0.818),0 (0â0),0.122 (0.05â0.287),0.003 (0â0.052),9.683 (4.462â14.037),9.022 (1.878â16.91),1.012 (0.152â1.915),0.036 (0â0.596),2.349 (0.677â9.992),0.022 (0â0.039),,0.482 (0.219â1.744),0 (0â0),0 (0â0),5.478 (1.753â15.469),0.373 (0â0.757),1.768 (0â13.595),,340.034 (94.702â502.62),0 (0â0),0.001 (0â0.031),2.838 (0.547â5.803),5.224 (1.485â8.528),8.953 (5.992â13.76),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),3.508 (0â13.746),0.036 (0â0.828),2.555 (0â10.233),412.224 (126.368â 594.044)
SSS,"0 (0,0)",0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0.007 (0â0.116),0 (0â0),0 (0â0),0.039 (0â0.136),0 (0â0),0 (0â0),0.003 (0â0.056),0 (0â0),0 (0â0),0 (0â0),0.128 (0â0.853),0 (0â0),26.126 (4.81â54.7),6.273 (1.52â15.6),0.951 (0.358â2.42),0.008 (0â0.056),1.166 (0.483â2.53),0 (0â0),0 (0â0),1.259 (0.327â6.37),0 (0â0),0 (0â0),65.136 (9.72â145),0.11 (0.018â0.176),0.925 (0.197â1.98),0 (0â0),122.418 (42.5â183),0 (0â0),0.001 (0â0.015),1.72 (0.649â2.88),11.955 (3.26â23.1),35.624 (5.66â76.1),,,,,,,,,,273.848 (70.043â501.924)
UPWR,"0 (0,0)",0 (0â0),0 (0â0),,0 (0â0),,0 (0â0),0 (0â0),0 (0â0),0.25 (0.236â0.263),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0.031 (0â0.049),0 (0â0),2.042 (1.773â2.444),0.625 (0.597â0.661),0.596 (0.12â0.872),0 (0â0),0 (0â0),0.02 (0.015â0.025),,0.175 (0.104â0.227),0 (0â0),0 (0â0),1.087 (0.731â1.312),0 (0â0),0 (0â0),,15.228 (11.988â17.397),0 (0â0),0 (0â0),0.054 (0â0.161),0.584 (0.549â0.612),2.229 (2.063â2.486),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),0 (0â0),22.92 (19.395â25.24)
