"nest_no","FTSA10_2","PF3OUDS11CL","FTSA4_2","DIPAP6_2","FTSA6_2","DIPAP8_2","FTSA8_2","CL_9PF3ONS","DONA","FOSA","N_ETFOSA","N_ETFOSAA","N_ETFOSE","N_MEFOSA","N_MEFOSAA","N_MEFOSE","PFBA","PFBS","PFDA","PFDOA","PFDS","PFHPA","PFHPS","PFHXA","PFHXDA","PFHXS","PFMBA","PFMPA","PFNA","PFNS","PFOA","PFODA","PFOS","PFPEA","PFPES","PFTEDA","PFTRDA","PFUNDA","PFEESA","PFDoS","ADONA","HFPO.DA","NFDHA","X3.3FTCA","X5.3FTCA","X6.2FTS","X7.3FTCA","TOTAL_PFAS"
"BR-12","0.231 (0.197–0.265)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","1.27 (1.01–1.53)","0 (0–0)","0 (0–0)","0.366 (0.315–0.417)","0 (0–0)","1.2 (0.831–1.57)","0.045 (0–0.09)","0 (0–0)","0.48 (0.462–0.497)","0 (0–0)","0 (0–0)","0 (0–0)","7.905 (7.64–8.17)","3.865 (3.24–4.49)","1.265 (1.25–1.28)","0 (0–0)","1.085 (1.08–1.09)","0 (0–0)","0 (0–0)","0.83 (0.62–1.04)","0 (0–0)","0 (0–0)","3.185 (3.16–3.21)","0.127 (0.099–0.155)","0.286 (0.248–0.324)","0 (0–0)","131 (108–154)","0 (0–0)","0 (0–0)","1.365 (1.07–1.66)","2.55 (2.32–2.78)","6.82 (6.75–6.89)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","163.875 (139.716–188.034)"
"BR-15","0.097 (0–0.194)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.896 (0.858–0.934)","0 (0–0)","0 (0–0)","0.646 (0.599–0.693)","0 (0–0)","1.091 (0.822–1.36)","0.029 (0–0.058)","0 (0–0)","0.399 (0.33–0.468)","0 (0–0)","0.063 (0–0.126)","0 (0–0)","10.765 (8.63–12.9)","5.785 (4.74–6.83)","0.99 (0.51–1.47)","0 (0–0)","0.584 (0.494–0.674)","0 (0–0)","0 (0–0)","0.217 (0.181–0.253)","0 (0–0)","0 (0–0)","1.705 (1.4–2.01)","0.147 (0.083–0.211)","0.138 (0.129–0.146)","0 (0–0)","123.25 (92.5–154)","0 (0–0)","0 (0–0)","1.195 (1.02–1.37)","2.675 (1.88–3.47)","10.905 (7.51–14.3)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","161.577 (122.023–201.13)"
"BR-17","0.274 (0.262–0.287)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.789 (0.598–0.981)","0 (0–0)","0 (0–0)","0.378 (0.289–0.466)","0 (0–0)","0.323 (0–0.646)","0 (0–0)","0 (0–0)","0.342 (0.164–0.521)","0 (0–0)","0.112 (0–0.224)","0 (0–0)","13.195 (9.49–16.9)","6.19 (5.05–7.33)","1.07 (0.89–1.25)","0 (0–0)","1.143 (0.906–1.38)","0 (0–0)","0 (0–0)","2.4 (1.36–3.44)","0 (0–0)","0 (0–0)","4.91 (2.92–6.9)","0.175 (0.154–0.196)","0.185 (0.108–0.262)","0 (0–0)","178.5 (151–206)","0 (0–0)","0 (0–0)","1.595 (1.3–1.89)","3.11 (2.34–3.88)","12.265 (8.13–16.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","226.957 (185.185–268.729)"
"BR-19","0.187 (0.187–0.187)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","1.3 (1.3–1.3)","0 (0–0)","0 (0–0)","0.757 (0.757–0.757)","0 (0–0)","1.56 (1.56–1.56)","0 (0–0)","0 (0–0)","0.675 (0.675–0.675)","0 (0–0)","0 (0–0)","0 (0–0)","13.8 (13.8–13.8)","8.28 (8.28–8.28)","0.974 (0.974–0.974)","0 (0–0)","0.912 (0.912–0.912)","0 (0–0)","0 (0–0)","0.7 (0.7–0.7)","0 (0–0)","0 (0–0)","3.45 (3.45–3.45)","0.112 (0.112–0.112)","0.153 (0.153–0.153)","0 (0–0)","149 (149–149)","0 (0–0)","0 (0–0)","1.81 (1.81–1.81)","4.44 (4.44–4.44)","12.4 (12.4–12.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","200.51 (200.51–200.51)"
"BY-032d","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","30 (30–30)","6.45 (6.45–6.45)","0.696 (0.696–0.696)","0 (0–0)","1.08 (1.08–1.08)","0 (0–0)","0 (0–0)","1.16 (1.16–1.16)","0 (0–0)","0 (0–0)","75.4 (75.4–75.4)","0.114 (0.114–0.114)","1.92 (1.92–1.92)","0 (0–0)","125 (125–125)","0 (0–0)","0 (0–0)","1.65 (1.65–1.65)","10.6 (10.6–10.6)","42.4 (42.4–42.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","296.47 (296.47–296.47)"
"BY-100a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.082 (0.073–0.093)","0 (0–0)","29.8 (26.5–33.3)","6.02 (5.85–6.23)","0.63 (0.503–0.708)","0 (0–0)","1.006 (0.958–1.08)","0 (0–0)","0 (0–0)","0.907 (0.806–1.04)","0 (0–0)","0 (0–0)","72.933 (60.7–82.8)","0.105 (0.098–0.113)","1.515 (0.926–1.97)","0 (0–0)","121 (107–128)","0 (0–0)","0 (0–0)","1.883 (1.77–1.98)","11.867 (11.2–12.9)","38.733 (36.2–43.1)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","286.482 (254.664–311.57)"
"BY-30","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.071 (0.071–0.071)","0 (0–0)","0 (0–0)","0.056 (0.056–0.056)","0 (0–0)","0 (0–0)","0 (0–0)","0.115 (0.115–0.115)","0 (0–0)","35.6 (35.6–35.6)","9.75 (9.75–9.75)","1.24 (1.24–1.24)","0.051 (0.051–0.051)","1.17 (1.17–1.17)","0 (0–0)","0 (0–0)","1.2 (1.2–1.2)","0 (0–0)","0 (0–0)","80.3 (80.3–80.3)","0.174 (0.174–0.174)","1.18 (1.18–1.18)","0 (0–0)","138 (138–138)","0 (0–0)","0 (0–0)","2.15 (2.15–2.15)","23.1 (23.1–23.1)","52.3 (52.3–52.3)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","346.457 (346.457–346.457)"
"BY-47a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.131 (0.131–0.131)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.098 (0.098–0.098)","0 (0–0)","54.7 (54.7–54.7)","15.6 (15.6–15.6)","0.922 (0.922–0.922)","0 (0–0)","1.57 (1.57–1.57)","0 (0–0)","0 (0–0)","1.58 (1.58–1.58)","0 (0–0)","0 (0–0)","145 (145–145)","0.133 (0.133–0.133)","1.98 (1.98–1.98)","0 (0–0)","179 (179–179)","0 (0–0)","0 (0–0)","2.51 (2.51–2.51)","22.6 (22.6–22.6)","76.1 (76.1–76.1)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","501.924 (501.924–501.924)"
"BY-47b","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.148 (0.148–0.148)","0 (0–0)","27.4 (27.4–27.4)","5.81 (5.81–5.81)","0.629 (0.629–0.629)","0.035 (0.035–0.035)","1.02 (1.02–1.02)","0 (0–0)","0 (0–0)","0.888 (0.888–0.888)","0 (0–0)","0 (0–0)","74 (74–74)","0.09 (0.09–0.09)","1.72 (1.72–1.72)","0 (0–0)","120 (120–120)","0 (0–0)","0 (0–0)","1.82 (1.82–1.82)","11.1 (11.1–11.1)","38 (38–38)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","282.66 (282.66–282.66)"
"BY-48a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.066 (0.066–0.066)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.115 (0.115–0.115)","0 (0–0)","13.9 (13.9–13.9)","4.33 (4.33–4.33)","0.7 (0.7–0.7)","0 (0–0)","0.943 (0.943–0.943)","0 (0–0)","0 (0–0)","0.668 (0.668–0.668)","0 (0–0)","0 (0–0)","29.8 (29.8–29.8)","0.072 (0.072–0.072)","0.275 (0.275–0.275)","0 (0–0)","74.5 (74.5–74.5)","0 (0–0)","0 (0–0)","1.12 (1.12–1.12)","10.4 (10.4–10.4)","18.6 (18.6–18.6)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","155.489 (155.489–155.489)"
"BY-94","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.12 (0.068–0.173)","0 (0–0)","18.1 (17–19.2)","3.98 (3.96–4)","0.685 (0.575–0.796)","0 (0–0)","0.989 (0.938–1.04)","0 (0–0)","0 (0–0)","0.771 (0.712–0.831)","0 (0–0)","0 (0–0)","45.85 (42–49.7)","0.097 (0.088–0.106)","0.261 (0.197–0.325)","0 (0–0)","134 (107–161)","0 (0–0)","0 (0–0)","1.255 (1.09–1.42)","7.385 (7.1–7.67)","25.45 (23.7–27.2)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","238.945 (212.256–265.633)"
"BY-97","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.056 (0–0.112)","0 (0–0)","5.32 (4.81–5.83)","1.665 (1.52–1.81)","0.746 (0.74–0.751)","0 (0–0)","0.59 (0.483–0.697)","0 (0–0)","0 (0–0)","0.389 (0.327–0.451)","0 (0–0)","0 (0–0)","12.06 (9.72–14.4)","0.068 (0.064–0.072)","0.224 (0.198–0.249)","0 (0–0)","51.35 (42.5–60.2)","0 (0–0)","0 (0–0)","0.684 (0.649–0.719)","3.655 (3.26–4.05)","6.2 (5.66–6.74)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","83.006 (70.043–95.969)"
"BY100a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.076 (0.076–0.076)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.066 (0.066–0.066)","0 (0–0)","15.4 (15.4–15.4)","5.53 (5.53–5.53)","0.358 (0.358–0.358)","0 (0–0)","1.2 (1.2–1.2)","0 (0–0)","0 (0–0)","0.992 (0.992–0.992)","0 (0–0)","0 (0–0)","54.3 (54.3–54.3)","0.018 (0.018–0.018)","0.927 (0.927–0.927)","0 (0–0)","96.9 (96.9–96.9)","0 (0–0)","0 (0–0)","1.27 (1.27–1.27)","9.75 (9.75–9.75)","24 (24–24)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","210.787 (210.787–210.787)"
"CO-03","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","2.917 (2.825–3.009)","0 (0–0)","0 (0–0)","2.726 (2.717–2.735)","0 (0–0)","1.676 (1.49–1.863)","0 (0–0)","0 (0–0)","0.204 (0.183–0.225)","0 (0–0)","0.066 (0.061–0.071)","0 (0–0)","8.441 (8.276–8.607)","7.228 (7.099–7.356)","0.471 (0.462–0.479)","0 (0–0)","0.806 (0.725–0.887)","0.017 (0.016–0.018)","NaN (Inf–-Inf)","0.295 (0.29–0.3)","0 (0–0)","0 (0–0)","2.019 (1.753–2.286)","0.367 (0.362–0.372)","0 (0–0)","NaN (Inf–-Inf)","257.175 (255.46–258.89)","0 (0–0)","0 (0–0)","1.477 (1.454–1.5)","3.809 (3.762–3.856)","8.621 (8.37–8.872)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.624 (0.517–0.731)","0 (0–0)","0.818 (0.807–0.828)","299.757 (297.124–302.39)"
"CR-03","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","0.595 (0.595–0.595)","0 (0–0)","0 (0–0)","1.103 (1.103–1.103)","0 (0–0)","0.847 (0.847–0.847)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.069 (0.069–0.069)","0 (0–0)","3.97 (3.97–3.97)","2.166 (2.166–2.166)","0.828 (0.828–0.828)","0 (0–0)","0.607 (0.607–0.607)","0.016 (0.016–0.016)","NaN (Inf–-Inf)","0.519 (0.519–0.519)","0 (0–0)","0 (0–0)","2.094 (2.094–2.094)","0 (0–0)","0.301 (0.301–0.301)","NaN (Inf–-Inf)","148.46 (148.46–148.46)","0 (0–0)","0 (0–0)","0.545 (0.545–0.545)","1.233 (1.233–1.233)","3.415 (3.415–3.415)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.508 (0.508–0.508)","0 (0–0)","0 (0–0)","167.276 (167.276–167.276)"
"CR-09a","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","1.059 (1.024–1.094)","0 (0–0)","0 (0–0)","0.985 (0.834–1.136)","0 (0–0)","0.39 (0.327–0.452)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.09 (0.08–0.099)","0 (0–0)","4.22 (3.605–4.834)","2.663 (2.495–2.83)","1.974 (0.299–3.648)","0 (0–0)","0.804 (0.671–0.937)","0.014 (0–0.028)","NaN (Inf–-Inf)","0.795 (0.715–0.876)","0 (0–0)","0 (0–0)","2.896 (2.404–3.387)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","163.845 (146.73–180.96)","0 (0–0)","0 (0–0)","0.813 (0.762–0.864)","1.871 (1.781–1.961)","3.954 (3.46–4.448)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.4 (0.364–0.436)","0 (0–0)","0 (0–0)","186.77 (165.972–207.569)"
"DO-05","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","28.8 (28.3–29.3)","9.02 (6.84–11.2)","0.936 (0.901–0.971)","0 (0–0)","1.81 (1.7–1.92)","0 (0–0)","0 (0–0)","1.255 (1.05–1.46)","0 (0–0)","0 (0–0)","25.25 (23.2–27.3)","0.107 (0.096–0.118)","0.571 (0.481–0.66)","0 (0–0)","250 (244–256)","0 (0–0)","0 (0–0)","1.92 (1.62–2.22)","14.35 (10.8–17.9)","25.3 (24.3–26.3)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","359.318 (350.197–368.44)"
"DO-07a","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","0.459 (0.42–0.532)","0 (0–0)","0 (0–0)","0.715 (0.576–0.85)","0 (0–0)","0.121 (0–0.196)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.074 (0.071–0.077)","0 (0–0)","4.078 (3.162–4.627)","0.976 (0.728–1.186)","0.232 (0.167–0.283)","0 (0–0)","0.092 (0–0.276)","0 (0–0)","NaN (Inf–-Inf)","0.147 (0.132–0.16)","0 (0–0)","0 (0–0)","3.895 (3.329–4.514)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","42.286 (34.037–48.544)","0 (0–0)","0 (0–0)","0.297 (0.259–0.327)","0.999 (0.762–1.133)","3.648 (2.869–4.052)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.068 (0–0.203)","0 (0–0)","0 (0–0)","58.087 (46.522–66.471)"
"DO-16a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.164 (0.139–0.192)","0 (0–0)","0 (0–0)","0.697 (0.656–0.759)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","13.2 (12.4–14.6)","5.117 (4.88–5.33)","0.889 (0.654–1.11)","0 (0–0)","1.173 (1.01–1.37)","0 (0–0)","0 (0–0)","2.293 (2.16–2.45)","0 (0–0)","0 (0–0)","7.153 (6.27–7.82)","0.105 (0.088–0.126)","0.153 (0.093–0.189)","0 (0–0)","178.667 (154–195)","0 (0–0)","0 (0–0)","1.133 (0.94–1.32)","6.377 (5.58–7.06)","15.5 (13.7–18.4)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","232.622 (204.416–255.053)"
"DO-18","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.057 (0–0.114)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","16.95 (12.5–21.4)","4.94 (3.57–6.31)","0.916 (0.673–1.16)","0 (0–0)","1.164 (0.888–1.44)","0 (0–0)","0 (0–0)","0.876 (0.712–1.04)","0 (0–0)","0 (0–0)","13.7 (10.3–17.1)","0.081 (0.059–0.104)","0.877 (0.484–1.27)","0 (0–0)","192 (148–236)","0 (0–0)","0 (0–0)","1.131 (0.891–1.37)","9.14 (6.58–11.7)","12.045 (9.59–14.5)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","253.878 (194.247–313.508)"
"DO-29a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.599 (0.589–0.609)","0 (0–0)","0 (0–0)","0.917 (0.884–0.95)","0 (0–0)","0.827 (0.696–0.958)","0 (0–0)","0 (0–0)","0.366 (0.349–0.384)","0 (0–0)","0 (0–0)","0 (0–0)","10.95 (10.4–11.5)","6.21 (5.93–6.49)","0.873 (0.77–0.975)","0 (0–0)","0.974 (0.888–1.06)","0 (0–0)","0 (0–0)","0.864 (0.728–1)","0 (0–0)","0 (0–0)","3.305 (3.06–3.55)","0.111 (0.107–0.115)","0.144 (0.116–0.172)","0 (0–0)","135.5 (135–136)","0 (0–0)","0 (0–0)","1.515 (1.48–1.55)","5.28 (5.02–5.54)","9.385 (9.24–9.53)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","177.82 (176.62–179.02)"
"DU-58a","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.083 (0–0.136)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.06 (0–0.102)","0 (0–0)","39.267 (32.4–47.8)","8.6 (6.88–10)","1.481 (0.933–2.16)","0 (0–0)","1.376 (0.897–1.63)","0 (0–0)","0 (0–0)","1.169 (0.926–1.33)","0 (0–0)","0 (0–0)","94.767 (71.4–120)","0.152 (0.108–0.176)","0.617 (0.383–0.799)","0 (0–0)","153 (123–183)","0 (0–0)","0.005 (0–0.015)","2.5 (2.15–2.88)","17.267 (12.1–22.2)","53.233 (40.9–62.9)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","373.574 (292.439–448.438)"
"DU-81","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.116 (0.116–0.116)","0 (0–0)","0 (0–0)","0.065 (0.065–0.065)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.853 (0.853–0.853)","0 (0–0)","13.1 (13.1–13.1)","4.02 (4.02–4.02)","2.42 (2.42–2.42)","0.056 (0.056–0.056)","2.53 (2.53–2.53)","0 (0–0)","0 (0–0)","6.37 (6.37–6.37)","0 (0–0)","0 (0–0)","29.6 (29.6–29.6)","0.164 (0.164–0.164)","0.364 (0.364–0.364)","0 (0–0)","155 (155–155)","0 (0–0)","0 (0–0)","1.7 (1.7–1.7)","6.2 (6.2–6.2)","15 (15–15)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","237.558 (237.558–237.558)"
"GR-102b","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","0.966 (0.966–0.966)","0 (0–0)","0 (0–0)","0.639 (0.639–0.639)","0 (0–0)","0.292 (0.292–0.292)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.049 (0.049–0.049)","0 (0–0)","2.92 (2.92–2.92)","1.648 (1.648–1.648)","2.201 (2.201–2.201)","0 (0–0)","0.367 (0.367–0.367)","0 (0–0)","NaN (Inf–-Inf)","0.34 (0.34–0.34)","0 (0–0)","0 (0–0)","0.888 (0.888–0.888)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","119.96 (119.96–119.96)","0 (0–0)","0 (0–0)","0.394 (0.394–0.394)","0.94 (0.94–0.94)","2.744 (2.744–2.744)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.178 (0.178–0.178)","0 (0–0)","0 (0–0)","134.526 (134.526–134.526)"
"GR-10a","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","2.253 (2.016–2.491)","0 (0–0)","0 (0–0)","1.817 (1.696–1.938)","0 (0–0)","0.701 (0.642–0.76)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.073 (0.065–0.08)","0 (0–0)","6.16 (5.831–6.488)","3.019 (2.793–3.246)","1.598 (0.591–2.606)","0 (0–0)","0.748 (0.698–0.799)","0.024 (0.021–0.027)","NaN (Inf–-Inf)","0.362 (0.321–0.402)","0 (0–0)","0 (0–0)","1.958 (1.851–2.065)","0.145 (0–0.29)","0 (0–0)","NaN (Inf–-Inf)","196.415 (172.04–220.79)","0 (0–0)","0 (0–0)","0.747 (0.73–0.764)","1.775 (1.697–1.852)","4.99 (4.717–5.264)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.87 (0.816–0.924)","0 (0–0)","0.529 (0.493–0.566)","224.185 (199.196–249.174)"
